,country,region,population,GDP,happiness_rank,happiness_score,standard_error,economy,family,health,freedom,trust,generosity,residual,true_residual,built_up_land_BiocapTot,built_up_land_EFConsTot,built_up_land_EFProdTot,built_up_land_EFNetradeTot,carbon_BiocapTot,carbon_EFConsTot,carbon_EFProdTot,carbon_EFNetradeTot,crop_land_BiocapTot,crop_land_EFConsTot,crop_land_EFProdTot,crop_land_EFNetradeTot,fishing_ground_BiocapTot,fishing_ground_EFConsTot,fishing_ground_EFProdTot,fishing_ground_EFNetradeTot,forest_land_BiocapTot,forest_land_EFConsTot,forest_land_EFProdTot,forest_land_EFNetradeTot,grazing_land_BiocapTot,grazing_land_EFConsTot,grazing_land_EFProdTot,grazing_land_EFNetradeTot,total_BiocapTot,total_EFConsTot,total_EFProdTot,total_EFNetradeTot
0,Afghanistan,Southern Asia,31.628,19300.733976,153,3.575,0.03084,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,1.9521,0.0004499999999998394,1.458818878,1.458818878,1.458818878,0.0,0.0,4.898568052,3.3727750380000003,1.5257930133400002,7.96035955,9.92841962,7.96035955,1.9680600698,0.0,0.007836169394,0.001536006061,0.006300163332999999,0.6085233355999999,2.220736852,1.9208683340000001,0.299868518611,5.914984107999999,5.910275544,5.70467232,0.20560322399,15.94268587,24.42465511,20.41903013,4.0056249894
1,Albania,Central and Eastern Europe,2.89,12755.188400000003,95,4.959,0.05013,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,1.89894,-0.0003800000000007131,0.1149291623,0.1149291623,0.1149291623,0.0,0.0,2.592726604,1.715084249,0.8776423548,1.142740274,1.87869523,1.142740274,0.7359549563400001,0.2366175565,0.07302416352,0.027590052889999998,0.04543411064,0.912743234,0.8387929431000001,0.4794543578,0.35933858526999995,0.6316040453999999,0.6904705285,0.6316040453999999,0.058866483059999995,3.038634272,6.188638631,4.111402141,2.0772364894999997
2,Algeria,Middle East and Northern Africa,38.934,182051.10126,68,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2.43209,0.0004000000000008441,1.092607128,1.092607128,1.092607128,0.0,0.0,57.085922659999994,45.706751579999995,11.379171079,7.898585699,22.686433809999997,7.898585699,14.787848107799999,0.3212567785,0.6011607869,0.29505541409999997,0.306105372743,1.100761206,6.739892206,3.3503008939999996,3.3895913114100003,10.67090338,7.134555918999999,4.894425715,2.2401302048099994,21.08411419,95.3405725,63.23772643,32.102846069
3,Angola,Sub-Saharan Africa,24.228,90796.12596,137,4.033,0.047580000000000004,0.75778,0.8604,0.16683,0.10384000000000002,0.07122,0.12344000000000001,1.9493900000000002,9.999999999976694e-05,1.1449451210000001,1.1449451210000001,1.1449451210000001,0.0,0.0,18.762274379999997,6.945603962,11.816670419999998,6.044876813999999,9.281379722999999,6.044876813999999,3.2365029095099995,5.444054683999999,3.583284121,2.2543307230000003,1.32895339847,13.06765549,2.6709386,2.511558767,0.15937983343,29.78759413,2.3247828590000004,1.899932507,0.424850352135,55.48912623,37.767604799999994,20.80124789,16.966356914000002
4,Argentina,Latin America and Caribbean,42.98,443691.13600000006,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003,-5.9999999999504894e-05,4.513279213000001,4.513279213000001,4.513279213000001,0.0,0.0,55.05947491,67.04602955,-11.98655463,111.2701595,48.538759219999996,111.2701595,-62.7314002324,69.28277176,3.72425617,8.607172004,-4.8829158339,26.253815260000003,10.53663734,9.433302155,1.1033351859999998,77.03480352,36.212114469999996,43.62483611,-7.41272163526,288.3548292,158.5845213,244.4947785,-85.91025711
5,Armenia,Central and Eastern Europe,3.006,11504.98404,127,4.35,0.04763,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873,2.9999999999752447e-05,0.18504634469999998,0.18504634469999998,0.18504634469999998,0.0,0.0,2.560362241,1.856992851,0.7033693894999999,1.062873662,1.869097638,1.062873662,0.80622397557,0.04669684057,0.01943662404,0.0016921498870000001,0.017744474149999998,0.2812142271,0.7596324346000001,0.5950897235,0.16454271115430003,0.7867190275,0.6746236214,0.5163947591,0.15822886232,2.362550102,6.068198904,4.218089491000001,1.8501094133000002
6,Australia,Australia and New Zealand,23.622,1284902.1546,10,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,-6.000000000039307e-05,1.4969521409999997,1.4969521409999997,1.4969521409999997,0.0,0.0,111.0268582,133.2573563,-22.230498120000004,55.800442780000004,16.04908752,55.800442780000004,-39.751355258000004,74.11917956,2.875812479,0.8161428112,2.0596696678,46.18047143,20.37921913,19.69619573,0.6830233989999993,135.42361440000002,10.82992936,65.98558549,-55.1556561253,313.02066030000003,162.6578588,277.05267530000003,-114.39481643
7,Austria,Western Europe,8.517,407850.1722,13,7.2,0.03751,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,0.00014000000000091717,1.287431198,1.287431198,1.287431198,0.0,0.0,33.092175929999996,22.23914906,10.85302687,5.9301258379999995,7.812094758,5.9301258379999995,1.8819689199999998,0.026343509159999997,0.5414463967,0.0005376021214,0.5409087946000001,17.15873827,5.164634024000001,10.453691449999999,-5.28905743,1.2710205479999999,2.151246799,1.2710205479999999,0.880226251,25.67365936,50.0490291,41.1819557,8.867073409999996
8,Azerbaijan,Central and Eastern Europe,9.63,58964.297399999996,80,5.212000000000001,0.03363,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799,2.00073,6.000000000128125e-05,0.4463057327,0.4463057327,0.4463057327,0.0,0.0,12.13256824,11.03811412,1.0944541179999998,3.237662003,5.254527071,3.237662003,2.0168650678000004,0.14476020579999999,0.08370507583,0.001944095738,0.08176098008923,1.090227498,0.8886404225,0.1645589785,0.724081444015,1.869318852,2.08687981,1.869318852,0.21756095795000002,6.7882742920000005,20.89262635,16.75790378,4.134722568
9,Bahrain,Middle East and Northern Africa,1.362,30496.1334,49,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,0.00033000000000082963,0.1009040995,0.1009040995,0.1009040995,0.0,0.0,9.936906312000001,11.30183269,-1.364926375,0.011536569100000001,0.6788439607000001,0.011536569100000001,0.6673073916,0.6146794473,0.1116486845,0.04455536386,0.06709332066000001,0.0011088027300000002,0.4746549761,0.002669405022,0.47198557112899997,0.0,0.5609123199999999,0.0,0.56091232002,0.7282289187000001,11.86387035,11.46149813,0.4023722280000001
10,Bangladesh,Southern Asia,159.078,146695.527558,109,4.694,0.03077,0.39753,0.43106000000000005,0.60164,0.4082,0.12569,0.21222,2.51767,-9.999999999621423e-06,12.4476343,12.4476343,12.4476343,0.0,0.0,43.4437748,24.213688530000002,19.230086266000004,43.13569217,53.46133226,43.13569217,10.325640086,8.341085801,3.4389730510000005,2.911402389,0.527570662,0.6411644721,12.89091028,10.44333982,2.4475704603499997,0.5206072155,0.7252519509999998,0.5206072155,0.2046447355254,65.08618396,126.4078766,93.67236443,32.735512213999996
11,Belarus,Central and Eastern Europe,9.5,63308.95,59,5.813,0.03938,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11045999999999999,2.1309,0.00046999999999997044,0.7655820389000001,0.7655820389000001,0.7655820389000001,0.0,0.0,22.31420018,21.64502098,0.6691791999999993,13.112547900000001,11.12069572,13.112547900000001,-1.9918521740000001,0.17244738759999997,0.8998884434,0.002690733565,0.8971977094,16.00318293,8.134710092,11.178963869999999,-3.044253783,2.576886088,1.347784794,2.576886088,-1.2291012935999999,32.63064634,44.58286127,49.28169161,-4.69883034
12,Belgium,Western Europe,11.226,501828.01980000007,19,6.937,0.03595,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,-0.0003900000000003345,2.140643361,2.140643361,2.140643361,0.0,0.0,45.26114392,32.10301516,13.15812875999999,4.459919747,13.89303584,4.459919747,9.433116099999998,0.48473842359999997,1.327501244,0.1868574662,1.1406437779999998,3.094342145,7.973205489,3.539893848,4.43331164,0.3631541767,4.683638349,0.3631541767,4.3204841730000005,10.54279785,75.27916821,42.79348376,32.485684499999984
13,Benin,Sub-Saharan Africa,10.598,8835.149876,155,3.34,0.03656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.6332799999999998,-9.000000000014552e-05,0.4676373552,0.4676373552,0.4676373552,0.0,0.0,3.77356211,1.820754389,1.9528077207,5.575034241,6.335817616000001,5.575034241,0.760783375,0.2275577965,0.8232625144,0.2297163333,0.593546181142,3.280557475,2.581396959,2.834462976,-0.25306601714000004,0.3724372328,0.3865698589,0.3724372328,0.014132626069999998,9.923224099999999,14.36824641,11.300042529999999,3.068203886
